No,デッキ,デッキ内番号,ファイル名,表示語句(front),収録テキスト,読み(参考),意味(参考)
1,Genki I 単語 ①,1,genki1-vocab-1_001.mp3,おはよう,おはよう,ohayou,Good morning (casual)
2,Genki I 単語 ①,2,genki1-vocab-1_002.mp3,おはようございます,おはようございます,ohayou gozaimasu,Good morning (polite)
3,Genki I 単語 ①,3,genki1-vocab-1_003.mp3,こんにちは,こんにちは,kon nichi wa,Hello
4,Genki I 単語 ①,4,genki1-vocab-1_004.mp3,こんばんは,こんばんは,kon ban wa,Good evening
5,Genki I 単語 ①,5,genki1-vocab-1_005.mp3,さようなら,さようなら,sayounara,good-bye (formal)
6,Genki I 単語 ①,6,genki1-vocab-1_006.mp3,じゃあ、また (ね),じゃあ、また,jaa mata (ne),See you.
7,Genki I 単語 ①,7,genki1-vocab-1_007.mp3,おやすみ,おやすみ,oyasumi,good night (casual)
8,Genki I 単語 ①,8,genki1-vocab-1_008.mp3,おやすみなさい,おやすみなさい,oyasumi nasai,Good night (polite)
9,Genki I 単語 ①,9,genki1-vocab-1_009.mp3,ありがとう,ありがとう,arigatou,Thank you (casual)
10,Genki I 単語 ①,10,genki1-vocab-1_010.mp3,ありがとうございます,ありがとうございます,arigatou gozaimasu,Thank you (polite)
11,Genki I 単語 ①,11,genki1-vocab-1_011.mp3,すみません,すみません,sumimasen,"sorry, excuse me, (thank you)"
12,Genki I 単語 ①,12,genki1-vocab-1_012.mp3,はい,はい,hai,Yes
13,Genki I 単語 ①,13,genki1-vocab-1_013.mp3,いいえ,いいえ,iie,No
14,Genki I 単語 ①,14,genki1-vocab-1_014.mp3,はじめまして,はじめまして,hajimemashite,Nice to meet you
15,Genki I 単語 ①,15,genki1-vocab-1_015.mp3,いただきます,いただきます,itadakimasu,Thank you for the meal (before eating)
16,Genki I 単語 ①,16,genki1-vocab-1_016.mp3,ごちそうさまでした,ごちそうさまでした,gochisou sama deshita,Thank you for the meal (after eating)
17,Genki I 単語 ①,17,genki1-vocab-1_017.mp3,いってきます,いってきます,ittekimasu,I'm off.
18,Genki I 単語 ①,18,genki1-vocab-1_018.mp3,いってらっしゃい,いってらっしゃい,itterasshai,Have a nice day.
19,Genki I 単語 ①,19,genki1-vocab-1_019.mp3,ただいま,ただいま,tadaima,I'm home
20,Genki I 単語 ①,20,genki1-vocab-1_020.mp3,おかえりなさい,おかえりなさい,okaerinasai,Welcome back home
21,Genki I 単語 ①,21,genki1-vocab-1_021.mp3,だいがく,だいがく,daigaku,university; college
22,Genki I 単語 ①,22,genki1-vocab-1_022.mp3,こうこう,こうこう,koukou,high school
23,Genki I 単語 ①,23,genki1-vocab-1_023.mp3,わたしは、がくせいです。,わたしは、がくせいです。,watashi wa gakusei desu,I am a student.
24,Genki I 単語 ①,24,genki1-vocab-1_024.mp3,りゅうがくせい,りゅうがくせい,ryuugakusei,international students
25,Genki I 単語 ①,25,genki1-vocab-1_025.mp3,せんせい,せんせい,sensei,"teacher, professor"
26,Genki I 単語 ①,26,genki1-vocab-1_026.mp3,１ねんせい,１ねんせい,ichi nen sei,first-year student
27,Genki I 単語 ①,27,genki1-vocab-1_027.mp3,せんこう,せんこう,senkou,major
28,Genki I 単語 ①,28,genki1-vocab-1_028.mp3,わたしの ともだち,わたしの ともだち,watashi no tomodachi,my friends
29,Genki I 単語 ①,29,genki1-vocab-1_029.mp3,たなかさん,たなかさん,Tanaka san,Mr./Ms. Tanaka
30,Genki I 単語 ①,30,genki1-vocab-1_030.mp3,にほんじん,にほんじん,nihon jin,Japanese people
31,Genki I 単語 ①,31,genki1-vocab-1_031.mp3,いま なんじ ですか？,いま なんじ ですか？,ima nan ji desu ka?,What time is it now?
32,Genki I 単語 ①,32,genki1-vocab-1_032.mp3,ごぜん,ごぜん,gozen,a.m.
33,Genki I 単語 ①,33,genki1-vocab-1_033.mp3,ごご,ごご,gogo,p.m.
34,Genki I 単語 ①,34,genki1-vocab-1_034.mp3,３じ５ふん,３じ５ふん,san ji go hun,3:05
35,Genki I 単語 ①,35,genki1-vocab-1_035.mp3,にほんご,にほんご,nihongo,Japanese language
36,Genki I 単語 ①,36,genki1-vocab-1_036.mp3,２じはん,２じはん,nijihan,half past two
37,Genki I 単語 ①,37,genki1-vocab-1_037.mp3,３さい,３さい,san sai,3 years old
38,Genki I 単語 ①,38,genki1-vocab-1_038.mp3,はたち,はたち,hatachi,20 years old
39,Genki I 単語 ①,39,genki1-vocab-1_039.mp3,１ばん,１ばん,ichi ban,Number 1
40,Genki I 単語 ①,40,genki1-vocab-1_040.mp3,ばんごう,ばんごう,ban gou,number
41,Genki I 単語 ①,41,genki1-vocab-1_041.mp3,なまえは、なんですか？,なまえは、なんですか？,namae wa nan desu ka,What is your name
42,Genki I 単語 ①,42,genki1-vocab-1_042.mp3,なん/なに,なん/なに,nan/nani,what
43,Genki I 単語 ①,43,genki1-vocab-1_043.mp3,あのう/えっと/そうですね....,あのう/えっと/そうですね....,anou/etto/soudesune...,um...
44,Genki I 単語 ①,44,genki1-vocab-1_044.mp3,そうです,そうです,soudesu,That's right.
45,Genki I 単語 ①,45,genki1-vocab-1_045.mp3,そうですか,そうですか,soudesuka,I see/ Is that so?
46,Genki I 単語 ①,46,genki1-vocab-1_046.mp3,イギリス,イギリス,igirisu,Britain
47,Genki I 単語 ①,47,genki1-vocab-1_047.mp3,オーストラリア,オーストラリア,oosutoraria,Australia
48,Genki I 単語 ①,48,genki1-vocab-1_048.mp3,かんこく,かんこく,kankoku,"Korea, South"
49,Genki I 単語 ①,49,genki1-vocab-1_049.mp3,カナダ,カナダ,kanada,Canada
50,Genki I 単語 ①,50,genki1-vocab-1_050.mp3,アメリカ,アメリカ,amerika,America (USA)
51,Genki I 単語 ①,51,genki1-vocab-1_051.mp3,ちゅうごく,ちゅうごく,chuugoku,China
52,Genki I 単語 ①,52,genki1-vocab-1_052.mp3,インド,インド,indo,India
53,Genki I 単語 ①,53,genki1-vocab-1_053.mp3,エジプト,エジプト,ejiputo,Egypt
54,Genki I 単語 ①,54,genki1-vocab-1_054.mp3,フィリピン,フィリピン,firipin,Philippines
55,Genki I 単語 ①,55,genki1-vocab-1_055.mp3,アジアけんきゅう,アジアけんきゅう,azia kenkyuu,Asian studies
56,Genki I 単語 ①,56,genki1-vocab-1_056.mp3,こうがく,こうがく,kougaku,engineering
57,Genki I 単語 ①,57,genki1-vocab-1_057.mp3,けいざい,けいざい,keizai,economics
58,Genki I 単語 ①,58,genki1-vocab-1_058.mp3,こくさいかんけい,こくさいかんけい,kokusai kankei,international relations
59,Genki I 単語 ①,59,genki1-vocab-1_059.mp3,コンピューター,コンピューター,konpyuutaa,computer
60,Genki I 単語 ①,60,genki1-vocab-1_060.mp3,せいじ,せいじ,seiji,politics
61,Genki I 単語 ①,61,genki1-vocab-1_061.mp3,せいぶつがく,せいぶつがく,seibutsugaku,biology
62,Genki I 単語 ①,62,genki1-vocab-1_062.mp3,ビジネス,ビジネス,bizinesu,business
63,Genki I 単語 ①,63,genki1-vocab-1_063.mp3,ぶんがく,ぶんがく,bungaku,literature
64,Genki I 単語 ①,64,genki1-vocab-1_064.mp3,れきし,れきし,rekishi,history
65,Genki I 単語 ①,65,genki1-vocab-1_065.mp3,いしゃ,いしゃ,isha,doctor
66,Genki I 単語 ①,66,genki1-vocab-1_066.mp3,かいしゃいん,かいしゃいん,kaishain,office worker
67,Genki I 単語 ①,67,genki1-vocab-1_067.mp3,かんごし,かんごし,kangoshi,nurse
68,Genki I 単語 ①,68,genki1-vocab-1_068.mp3,こうこうせい,こうこうせい,koukousei,high school student
69,Genki I 単語 ①,69,genki1-vocab-1_069.mp3,しゅふ,しゅふ,shu hu,house wife
70,Genki I 単語 ①,70,genki1-vocab-1_070.mp3,だいがくいんせい,だいがくいんせい,daigakuin sei,graduate student
71,Genki I 単語 ①,71,genki1-vocab-1_071.mp3,べんごし,べんごし,bengoshi,lawyer
72,Genki I 単語 ①,72,genki1-vocab-1_072.mp3,おかあさん,おかあさん,okaasan,mother
73,Genki I 単語 ①,73,genki1-vocab-1_073.mp3,おとうさん,おとうさん,otousan,father
74,Genki I 単語 ①,74,genki1-vocab-1_074.mp3,おねえさん,おねえさん,oneesan,older sister
75,Genki I 単語 ①,75,genki1-vocab-1_075.mp3,おにいさん,おにいさん,oniisan,older brother
76,Genki I 単語 ①,76,genki1-vocab-1_076.mp3,いもうと,いもうと,imouto,younger sister
77,Genki I 単語 ①,77,genki1-vocab-1_077.mp3,おとうと,おとうと,otouto,younger brother
78,Genki I 単語 ①,78,genki1-vocab-1_078.mp3,これ/それ/あれ/どれ,これ/それ/あれ/どれ,kore/sore/are/dore,this one/that one/ that one (over there)/ which one
79,Genki I 単語 ①,79,genki1-vocab-1_079.mp3,この/その/あの/どの,この/その/あの/どの,kono/ sono/ ano/ dono,this.../that.../that....(over there)/which...+noun
80,Genki I 単語 ①,80,genki1-vocab-1_080.mp3,これは、ぺんです。,これは、ぺんです。,kore wa pen desu,This is a pen.
81,Genki I 単語 ①,81,genki1-vocab-1_081.mp3,このぺんは、いいです。,このぺんは、いいです。,kono pen wa iidesu.,This pen is good.
82,Genki I 単語 ①,82,genki1-vocab-1_082.mp3,ここ/そこ/あそこ/どこ,ここ/そこ/あそこ/どこ,koko/soko/asoko/doko,here/there/over there/where
83,Genki I 単語 ①,83,genki1-vocab-1_083.mp3,だれ,だれ,dare,who
84,Genki I 単語 ①,84,genki1-vocab-1_084.mp3,おいしい,おいしい,oishii,delicious
85,Genki I 単語 ①,85,genki1-vocab-1_085.mp3,さかな,さかな,sakana,fish
